"k","u","n","Tn"
"split on x2",0.714,1,49.756937310138
"split on x2",0.714,2,73.5012655618185
"split on x2",0.714,3,26.5326224612348
"split on x2",0.714,4,72.7877383252457
"split on x2",0.714,5,73.2505410937195
"split on x2",0.714,6,67.5246713812902
"split on x2",0.714,7,73.2031466406767
"split on x2",0.714,8,28.5724742325684
"split on x2",0.714,9,59.9214756740414
"split on x2",0.714,10,33.8366132740201
"split on x2",0.714,11,71.4446517667586
"split on x2",0.714,12,77.8449846497922
"split on x2",0.714,13,36.028155702026
"split on x2",0.714,14,33.4439853477486
"split on x2",0.714,15,66.3478233659775
"split on x3",0.714,0,127.304691774677
"split on x3",0.714,1,117.248881281013
"split on x3",0.714,2,102.743299717689
"split on x3",0.714,3,121.826929002553
"split on x3",0.714,4,106.926962267664
"split on x3",0.714,5,90.1104478962447
"split on x3",0.714,6,92.3941935063403
"split on x3",0.714,7,102.578349862192
"split on x3",0.714,8,138.073282778778
"split on x3",0.714,9,127.943106993978
"split on x3",0.714,10,127.974411772016
"split on x3",0.714,11,106.417554856298
"split on x3",0.714,12,125.7619589728
"split on x3",0.714,13,98.9798036222299
"split on x3",0.714,14,126.23779230568
"split on x3",0.714,15,107.536583734274
"split on x1",0.857,0,8.83743702239352
"split on x1",0.857,1,6.50413540560584
"split on x1",0.857,2,8.21506140377944
"split on x1",0.857,3,11.7206433169879
"split on x1",0.857,4,19.398891939384
"split on x1",0.857,5,9.60164245923433
"split on x1",0.857,6,11.6590480975195
"split on x1",0.857,7,15.888846710655
"split on x1",0.857,8,14.4976227395907
"split on x1",0.857,9,16.3623536910041
"split on x1",0.857,10,8.40677618753685
"split on x1",0.857,11,12.089804326554
"split on x1",0.857,12,12.7726380047979
"split on x1",0.857,13,9.91046545977101
"split on x1",0.857,14,8.20996232809869
"split on x1",0.857,15,8.85126442245709
"split on x2",0.857,0,68.8123961543264
"split on x2",0.857,1,61.3982501126145
"split on x2",0.857,2,48.3217469693481
"split on x2",0.857,3,56.0689005751906
"split on x2",0.857,4,67.8742838538563
"split on x2",0.857,5,56.8954253641723
"split on x2",0.857,6,48.5826554483065
"split on x2",0.857,7,45.6687239072166
"split on x2",0.857,8,65.5021189405815
"split on x2",0.857,9,68.5712093749597
"split on x2",0.857,10,40.4705548050406
"split on x2",0.857,11,55.5288273767412
"split on x2",0.857,12,47.4927946614031
"split on x2",0.857,13,72.5970762471162
"split on x2",0.857,14,71.0216382510634
"split on x2",0.857,15,47.2938897454187
"split on x3",0.857,0,64.8174404573366
"split on x3",0.857,1,64.1425411690211
"split on x3",0.857,2,66.2719836374834
"split on x3",0.857,3,69.4149268145668
"split on x3",0.857,4,63.5242083807341
"split on x3",0.857,5,68.574455082523
"split on x3",0.857,6,68.7868052045727
"split on x3",0.857,7,68.8029967430876
"split on x3",0.857,8,60.8349438366564
"split on x3",0.857,9,69.2937842013255
"split on x3",0.857,10,66.0712301554091
"split on x3",0.857,11,72.4510263653801
"split on x3",0.857,12,57.607181683064
"split on x3",0.857,13,63.0374876056069
"split on x3",0.857,14,63.3134570458283
"split on x3",0.857,15,70.9178465849982
