"case","t","y1","y2"
1043,0.5,-0.142425128554746,0.652651824848291
1043,1,-0.0905538578645927,0.82496198583086
1043,1.5,-0.0320560207267983,1.0355344959028
1043,2,0.0359570129105397,1.2859825813777
1043,2.5,0.116755828043027,1.57372727916374
1043,3,0.213763965444725,1.89042873734248
1043,3.5,0.330273078152581,2.22131154637828
1043,4,0.469155516086139,2.54599455887471
1043,4.5,0.632634834751161,2.84108712302474
1043,5,0.822146289099151,3.08398782202961
1043,5.5,1.03828313893016,3.2567744151017
1043,6,1.28080259758337,3.34904355900907
1043,6.5,1.54867967216752,3.35910995630734
1043,7,1.84021837578387,3.29353572989416
1043,7.5,2.1532425683421,3.16539909418123
1043,8,2.48536952279636,2.99183934472405
1043,8.5,2.83432972669183,2.79141931533259
1043,9,3.19825834944091,2.58178045038516
1043,9.5,3.57587200207883,2.37794404069507
1043,10,3.96646720567194,2.19144424946949
1044,0,-0.190031975274906,0.514496699674055
1044,0.5,-0.142425128554746,0.652651824848291
1044,1,-0.0905538578645927,0.82496198583086
1044,1.5,-0.0320560207267983,1.0355344959028
1044,2,0.0359570129105397,1.2859825813777
1044,2.5,0.116755828043027,1.57372727916374
1044,3,0.213763965444725,1.89042873734248
1044,3.5,0.330273078152581,2.22131154637828
1044,4,0.469155516086139,2.54599455887471
1044,4.5,0.632634834751161,2.84108712302474
1044,5,0.822146289099151,3.08398782202961
1044,5.5,1.03828313893016,3.2567744151017
1044,6,1.28080259758337,3.34904355900907
1044,6.5,1.54867967216752,3.35910995630734
1044,7,1.84021837578387,3.29353572989416
1044,7.5,2.1532425683421,3.16539909418123
1044,8,2.48536952279636,2.99183934472405
1044,8.5,2.83432972669183,2.79141931533259
1044,9,3.19825834944091,2.58178045038516
1044,9.5,3.57587200207883,2.37794404069507
1044,10,3.96646720567194,2.19144424946949
1045,0,-0.190031975274906,0.514496699674055
1045,0.5,-0.142425128554746,0.652651824848291
1045,1,-0.0905538578645927,0.82496198583086
1045,1.5,-0.0320560207267983,1.0355344959028
1045,2,0.0359570129105397,1.2859825813777
1045,2.5,0.116755828043027,1.57372727916374
1045,3,0.213763965444725,1.89042873734248
1045,3.5,0.330273078152581,2.22131154637828
1045,4,0.469155516086139,2.54599455887471
1045,4.5,0.632634834751161,2.84108712302474
1045,5,0.822146289099151,3.08398782202961
1045,5.5,1.03828313893016,3.2567744151017
1045,6,1.28080259758337,3.34904355900907
1045,6.5,1.54867967216752,3.35910995630734
1045,7,1.84021837578387,3.29353572989416
1045,7.5,2.1532425683421,3.16539909418123
1045,8,2.48536952279636,2.99183934472405
1045,8.5,2.83432972669183,2.79141931533259
1045,9,3.19825834944091,2.58178045038516
1045,9.5,3.57587200207883,2.37794404069507
1045,10,3.96646720567194,2.19144424946949
1046,0,-0.190031975274906,0.514496699674055
1046,0.5,-0.141982255872381,0.55553412088106
1046,1,-0.0895221458531351,0.599229212234906
1046,1.5,-0.0317561939115152,0.645639617189493
1046,2,0.0323208960614665,0.694798959002343
1046,2.5,0.103834988701907,0.746710801933852
1046,3,0.18403710658383,0.801342729512191
1046,3.5,0.274308940026994,0.858619390312272
1046,4,0.376165462553062,0.918414924625162
1046,4.5,0.491252052003381,0.980545913422484
1046,5,0.621335729050643,1.0447636864126
1046,5.5,0.768287992992322,1.11074773695916
1046,6,0.934057020285563,1.17810015999968
