i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	939524096	0	2753	-1.0	0.0	0.875	0.0	False	False	False					5.0	4.3875	1.0
0	939524096	134217728	2754	-1.0	0.0	0.875	0.125	False	False	False					5.0	4.3875	5.25
0	939524096	201326592	2980	-1.0	0.0	0.875	0.1875	False	False	False					5.0	4.3875	7.375
0	939524096	268435456	2755	-1.0	0.0	0.875	0.25	False	False	False					5.0	4.3875	9.5
0	939524096	536870912	1185	-1.0	0.0	0.875	0.5	False	False	False					5.0	4.3875	18.0
0	939524096	671088640	1186	-1.0	0.0	0.875	0.625	False	False	False					5.0	4.3875	22.25
0	939524096	805306368	1187	-1.0	0.0	0.875	0.75	False	False	False					5.0	4.3875	26.5
0	939524096	939524096	2938	-1.0	0.0	0.875	0.875	False	False	False					5.0	4.3875	30.75
0	939524096	1073741824	2939	-1.0	0.0	0.875	1.0	False	False	False					5.0	4.3875	35.0
0	1006632960	134217728	2981	-1.0	0.0	0.9375	0.125	False	False	False					5.0	4.69375	5.25
0	1006632960	201326592	2982	-1.0	0.0	0.9375	0.1875	False	False	False					5.0	4.69375	7.375
0	1006632960	268435456	2983	-1.0	0.0	0.9375	0.25	False	False	False					5.0	4.69375	9.5
0	1073741824	0	3	0.0	0.0	1.0	0.0	False	False	True	0.0	0.0	0.0	0.0	5.0	5.0	1.0
0	1073741824	134217728	2756	-1.0	0.0	1.0	0.125	False	False	False					5.0	5.0	5.25
0	1073741824	201326592	2984	-1.0	0.0	1.0	0.1875	False	False	False					5.0	5.0	7.375
0	1073741824	268435456	921	-1.0	0.0	1.0	0.25	False	False	False					5.0	5.0	9.5
0	1073741824	536870912	14	-1.0	0.0	1.0	0.5	False	False	False					5.0	5.0	18.0
0	1073741824	671088640	1188	-1.0	0.0	1.0	0.625	False	False	False					5.0	5.0	22.25
0	1073741824	805306368	343	-1.0	0.0	1.0	0.75	False	False	False					5.0	5.0	26.5
0	1073741824	939524096	2940	-1.0	0.0	1.0	0.875	False	False	False					5.0	5.0	30.75
0	1073741824	1073741824	4	0.0	0.0	1.0	1.0	False	False	True	0.0	0.0	0.0	0.0	5.0	5.0	35.0
16777216	150994944	754974720	2399	107.0	0.015625	0.140625	0.703125	False	False	False	14235.359887609071	32829.839044204695	25110.496348846154	0.00499383017003211	5.46875	0.7890625	24.90625
16777216	150994944	788529152	2400	107.0	0.015625	0.140625	0.734375	False	False	False	10515.612195205358	31697.215853597034	26030.70705268504	0.004821543980845538	5.46875	0.7890625	25.96875
16777216	184549376	754974720	2401	107.0	0.015625	0.171875	0.703125	False	False	False	12063.47645123211	31088.23466829407	23826.384225236005	0.00472891030658192	5.46875	0.9421875	24.90625
16777216	184549376	788529152	2402	107.0	0.015625	0.171875	0.734375	False	False	False	8930.204412838702	29684.01289730244	24495.58594649976	0.004515310567760423	5.46875	0.9421875	25.96875
16777216	218103808	620756992	2046	92.0	0.015625	0.203125	0.578125	False	False	False	27782.20560524365	35657.07037408826	20315.283185101263	0.005423887505793702	5.46875	1.0953125	20.65625
16777216	218103808	654311424	2047	92.0	0.015625	0.203125	0.609375	False	False	False	22604.23057425635	34164.22256235892	20423.875015793143	0.00519680663489932	5.46875	1.0953125	21.71875
16777216	218103808	687865856	2256	101.0	0.015625	0.203125	0.640625	False	False	False	17844.721303612536	32591.319382869147	21119.821096152624	0.004957548338759058	5.46875	1.0953125	22.78125
16777216	218103808	721420288	2257	101.0	0.015625	0.203125	0.671875	False	False	False	13828.61784135187	30952.303957760105	21931.13382102283	0.00470823354108257	5.46875	1.0953125	23.84375
16777216	251658240	620756992	2048	92.0	0.015625	0.234375	0.578125	False	False	False	24921.923399177205	34654.27181361123	19027.913351694064	0.005271349270713352	5.46875	1.2484375	20.65625
16777216	251658240	654311424	2049	92.0	0.015625	0.234375	0.609375	False	False	False	20002.63757498948	32972.583639119795	19533.38149892246	0.005015543412784724	5.46875	1.2484375	21.71875
16777216	251658240	687865856	2258	101.0	0.015625	0.234375	0.640625	False	False	False	15795.7740041835	31188.73315094588	20280.210218506174	0.004744197385937786	5.46875	1.2484375	22.78125
16777216	251658240	721420288	2259	101.0	0.015625	0.234375	0.671875	False	False	False	12250.826943099479	29335.91407477664	20931.088287698647	0.004462360372063717	5.46875	1.2484375	23.84375
33554432	33554432	704643072	3066	136.0	0.03125	0.03125	0.65625	False	False	False	36407.43392268623	35737.91709352701	34052.33619087407	0.010992582706125069	5.9375	0.253125	23.3125
33554432	33554432	771751936	3067	136.0	0.03125	0.03125	0.71875	False	False	False	30215.798558338825	35349.00847845443	33912.01944855199	0.010754054857395843	5.9375	0.253125	25.4375
33554432	100663296	704643072	3068	136.0	0.03125	0.09375	0.65625	False	False	False	28725.375377734	36280.03048265763	27906.26017449999	0.011037295099134063	5.9375	0.559375	23.3125
33554432	100663296	771751936	3069	136.0	0.03125	0.09375	0.71875	False	False	False	18936.042367093727	34908.96212381003	28103.994170342317	0.010620181720882627	5.9375	0.559375	25.4375
33554432	134217728	738197504	2387	-1.0	0.03125	0.125	0.6875	False	False	False					5.9375	0.7125	24.375
33554432	134217728	771751936	2388	-1.0	0.03125	0.125	0.71875	False	False	False					5.9375	0.7125	25.4375
33554432	134217728	805306368	2389	-1.0	0.03125	0.125	0.75	False	False	False					5.9375	0.7125	26.5
33554432	167772160	33554432	247	11.0	0.03125	0.15625	0.03125	False	False	False	44500.978801048004	41127.77160375024	8932.500884073035	0.013436285869881643	5.9375	0.865625	2.0625
33554432	167772160	100663296	248	11.0	0.03125	0.15625	0.09375	False	False	False	47453.83707390174	43584.65764867066	13557.00546271544	0.01432784935806212	5.9375	0.865625	4.1875
33554432	167772160	570425344	1125	50.0	0.03125	0.15625	0.53125	False	False	False	36142.5564311595	38688.08706627798	21973.815336471424	0.011769886300829311	5.9375	0.865625	19.0625
33554432	167772160	637534208	1126	50.0	0.03125	0.15625	0.59375	False	False	False	29860.69899307295	36413.296396642465	22806.19322059595	0.011077837932195064	5.9375	0.865625	21.1875
33554432	167772160	704643072	1486	67.0	0.03125	0.15625	0.65625	False	False	False	20839.429685643667	33980.98206415719	23230.543979627757	0.010337866914962152	5.9375	0.865625	23.3125
33554432	167772160	738197504	2390	-1.0	0.03125	0.15625	0.6875	False	False	False					5.9375	0.865625	24.375
33554432	167772160	771751936	1487	67.0	0.03125	0.15625	0.71875	False	False	True	12205.683555078942	31464.891177170128	25003.51897450041	0.009572408968911279	5.9375	0.865625	25.4375
33554432	167772160	805306368	2391	-1.0	0.03125	0.15625	0.75	False	False	False					5.9375	0.865625	26.5
33554432	167772160	973078528	2548	113.0	0.03125	0.15625	0.90625	False	False	False	1566.3925905090546	26995.931085886423	26724.604214862527	0.008351188281496095	5.9375	0.865625	31.8125
33554432	167772160	1040187392	2549	113.0	0.03125	0.15625	0.96875	False	False	False	1164.5403672873117	26850.171550322328	26817.730497280114	0.008380289371718884	5.9375	0.865625	33.9375
33554432	201326592	603979776	2033	-1.0	0.03125	0.1875	0.5625	False	False	False					5.9375	1.01875	20.125
33554432	201326592	637534208	2034	-1.0	0.03125	0.1875	0.59375	False	False	False					5.9375	1.01875	21.1875
