i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	201326592	771751936	2386	-1.0	0.0	0.1875	0.71875	False	False	False					5.0	1.01875	25.4375
0	201326592	805306368	1476	-1.0	0.0	0.1875	0.75	False	False	False					5.0	1.01875	26.5
0	201326592	872415232	4263	-1.0	0.0	0.1875	0.8125	False	False	False					5.0	1.01875	28.625
0	201326592	905969664	12493	-1.0	0.0	0.1875	0.84375	False	False	False					5.0	1.01875	29.6875
0	201326592	939524096	2531	-1.0	0.0	0.1875	0.875	False	False	False					5.0	1.01875	30.75
0	201326592	1006632960	2532	-1.0	0.0	0.1875	0.9375	False	False	False					5.0	1.01875	32.875
0	201326592	1073741824	2533	-1.0	0.0	0.1875	1.0	False	False	False					5.0	1.01875	35.0
0	218103808	0	19502	-1.0	0.0	0.203125	0.0	False	False	False					5.0	1.0953125	1.0
0	218103808	16777216	19503	-1.0	0.0	0.203125	0.015625	False	False	False					5.0	1.0953125	1.53125
0	218103808	33554432	19504	-1.0	0.0	0.203125	0.03125	False	False	False					5.0	1.0953125	2.0625
0	234881024	0	4548	-1.0	0.0	0.21875	0.0	False	False	False					5.0	1.171875	1.0
0	234881024	16777216	19505	-1.0	0.0	0.21875	0.015625	False	False	False					5.0	1.171875	1.53125
0	234881024	33554432	4549	-1.0	0.0	0.21875	0.03125	False	False	False					5.0	1.171875	2.0625
0	234881024	67108864	4550	-1.0	0.0	0.21875	0.0625	False	False	False					5.0	1.171875	3.125
0	234881024	134217728	8608	-1.0	0.0	0.21875	0.125	False	False	False					5.0	1.171875	5.25
0	234881024	167772160	8609	-1.0	0.0	0.21875	0.15625	False	False	False					5.0	1.171875	6.3125
0	234881024	201326592	8610	-1.0	0.0	0.21875	0.1875	False	False	False					5.0	1.171875	7.375
0	234881024	603979776	2029	-1.0	0.0	0.21875	0.5625	False	False	False					5.0	1.171875	20.125
0	234881024	637534208	2030	-1.0	0.0	0.21875	0.59375	False	False	False					5.0	1.171875	21.1875
0	234881024	671088640	2031	-1.0	0.0	0.21875	0.625	False	False	False					5.0	1.171875	22.25
0	234881024	704643072	2244	-1.0	0.0	0.21875	0.65625	False	False	False					5.0	1.171875	23.3125
0	234881024	738197504	2245	-1.0	0.0	0.21875	0.6875	False	False	False					5.0	1.171875	24.375
0	234881024	771751936	14304	-1.0	0.0	0.21875	0.71875	False	False	False					5.0	1.171875	25.4375
0	234881024	788529152	19727	-1.0	0.0	0.21875	0.734375	False	False	False					5.0	1.171875	25.96875
0	234881024	805306368	14305	-1.0	0.0	0.21875	0.75	False	False	False					5.0	1.171875	26.5
0	251658240	771751936	19728	-1.0	0.0	0.234375	0.71875	False	False	False					5.0	1.2484375	25.4375
0	251658240	788529152	19729	-1.0	0.0	0.234375	0.734375	False	False	False					5.0	1.2484375	25.96875
0	251658240	805306368	19730	-1.0	0.0	0.234375	0.75	False	False	False					5.0	1.2484375	26.5
0	268435456	0	63	-1.0	0.0	0.25	0.0	False	False	False					5.0	1.325	1.0
0	268435456	33554432	4551	-1.0	0.0	0.25	0.03125	False	False	False					5.0	1.325	2.0625
0	268435456	67108864	233	-1.0	0.0	0.25	0.0625	False	False	False					5.0	1.325	3.125
0	268435456	134217728	212	-1.0	0.0	0.25	0.125	False	False	False					5.0	1.325	5.25
0	268435456	167772160	8611	-1.0	0.0	0.25	0.15625	False	False	False					5.0	1.325	6.3125
0	268435456	201326592	5026	-1.0	0.0	0.25	0.1875	False	False	False					5.0	1.325	7.375
0	268435456	268435456	64	-1.0	0.0	0.25	0.25	False	False	False					5.0	1.325	9.5
0	268435456	402653184	6546	-1.0	0.0	0.25	0.375	False	False	False					5.0	1.325	13.75
0	268435456	536870912	37	-1.0	0.0	0.25	0.5	False	False	False					5.0	1.325	18.0
0	268435456	603979776	1111	-1.0	0.0	0.25	0.5625	False	False	False					5.0	1.325	20.125
0	268435456	637534208	2032	-1.0	0.0	0.25	0.59375	False	False	False					5.0	1.325	21.1875
0	268435456	671088640	573	-1.0	0.0	0.25	0.625	False	False	False					5.0	1.325	22.25
0	268435456	704643072	2246	-1.0	0.0	0.25	0.65625	False	False	False					5.0	1.325	23.3125
0	268435456	738197504	1477	-1.0	0.0	0.25	0.6875	False	False	False					5.0	1.325	24.375
0	268435456	771751936	14306	-1.0	0.0	0.25	0.71875	False	False	False					5.0	1.325	25.4375
0	268435456	788529152	19731	-1.0	0.0	0.25	0.734375	False	False	False					5.0	1.325	25.96875
0	268435456	805306368	38	-1.0	0.0	0.25	0.75	False	False	False					5.0	1.325	26.5
0	268435456	872415232	4264	-1.0	0.0	0.25	0.8125	False	False	False					5.0	1.325	28.625
0	268435456	939524096	646	-1.0	0.0	0.25	0.875	False	False	False					5.0	1.325	30.75
0	268435456	1006632960	2534	-1.0	0.0	0.25	0.9375	False	False	False					5.0	1.325	32.875
0	268435456	1073741824	39	-1.0	0.0	0.25	1.0	False	False	False					5.0	1.325	35.0
0	402653184	0	1314	-1.0	0.0	0.375	0.0	False	False	False					5.0	1.9375	1.0
0	402653184	67108864	8107	-1.0	0.0	0.375	0.0625	False	False	False					5.0	1.9375	3.125
0	402653184	134217728	1315	-1.0	0.0	0.375	0.125	False	False	False					5.0	1.9375	5.25
0	402653184	201326592	9573	-1.0	0.0	0.375	0.1875	False	False	False					5.0	1.9375	7.375
0	402653184	268435456	1316	-1.0	0.0	0.375	0.25	False	False	False					5.0	1.9375	9.5
0	402653184	402653184	6547	-1.0	0.0	0.375	0.375	False	False	False					5.0	1.9375	13.75
0	402653184	536870912	6548	-1.0	0.0	0.375	0.5	False	False	False					5.0	1.9375	18.0
0	402653184	805306368	647	-1.0	0.0	0.375	0.75	False	False	False					5.0	1.9375	26.5
0	402653184	939524096	648	-1.0	0.0	0.375	0.875	False	False	False					5.0	1.9375	30.75
0	402653184	1006632960	10881	-1.0	0.0	0.375	0.9375	False	False	False					5.0	1.9375	32.875
0	402653184	1073741824	649	-1.0	0.0	0.375	1.0	False	False	False					5.0	1.9375	35.0
0	469762048	0	8108	-1.0	0.0	0.4375	0.0	False	False	False					5.0	2.24375	1.0
0	469762048	67108864	8109	-1.0	0.0	0.4375	0.0625	False	False	False					5.0	2.24375	3.125
0	469762048	100663296	13162	-1.0	0.0	0.4375	0.09375	False	False	False					5.0	2.24375	4.1875
0	469762048	134217728	8110	-1.0	0.0	0.4375	0.125	False	False	False					5.0	2.24375	5.25
0	469762048	201326592	9574	-1.0	0.0	0.4375	0.1875	False	False	False					5.0	2.24375	7.375
0	469762048	268435456	9575	-1.0	0.0	0.4375	0.25	False	False	False					5.0	2.24375	9.5
0	469762048	939524096	10882	-1.0	0.0	0.4375	0.875	False	False	False					5.0	2.24375	30.75
0	469762048	1006632960	10883	-1.0	0.0	0.4375	0.9375	False	False	False					5.0	2.24375	32.875
0	469762048	1040187392	13234	-1.0	0.0	0.4375	0.96875	False	False	False					5.0	2.24375	33.9375
0	469762048	1073741824	10884	-1.0	0.0	0.4375	1.0	False	False	False					5.0	2.24375	35.0
0	503316480	67108864	13163	-1.0	0.0	0.46875	0.0625	False	False	False					5.0	2.396875	3.125
0	503316480	100663296	13164	-1.0	0.0	0.46875	0.09375	False	False	False					5.0	2.396875	4.1875
0	503316480	134217728	13165	-1.0	0.0	0.46875	0.125	False	False	False					5.0	2.396875	5.25
0	503316480	1006632960	13235	-1.0	0.0	0.46875	0.9375	False	False	False					5.0	2.396875	32.875
0	503316480	1040187392	13236	-1.0	0.0	0.46875	0.96875	False	False	False					5.0	2.396875	33.9375
0	503316480	1073741824	13237	-1.0	0.0	0.46875	1.0	False	False	False					5.0	2.396875	35.0
0	536870912	0	11	-1.0	0.0	0.5	0.0	False	False	False					5.0	2.55	1.0
0	536870912	67108864	8111	-1.0	0.0	0.5	0.0625	False	False	False					5.0	2.55	3.125
0	536870912	100663296	13166	-1.0	0.0	0.5	0.09375	False	False	False					5.0	2.55	4.1875
0	536870912	134217728	1317	-1.0	0.0	0.5	0.125	False	False	False					5.0	2.55	5.25
0	536870912	201326592	9576	-1.0	0.0	0.5	0.1875	False	False	False					5.0	2.55	7.375
0	536870912	268435456	65	-1.0	0.0	0.5	0.25	False	False	False					5.0	2.55	9.5
0	536870912	402653184	6549	-1.0	0.0	0.5	0.375	False	False	False					5.0	2.55	13.75
0	536870912	536870912	12	-1.0	0.0	0.5	0.5	False	False	False					5.0	2.55	18.0
0	536870912	671088640	1902	-1.0	0.0	0.5	0.625	False	False	False					5.0	2.55	22.25
0	536870912	805306368	40	-1.0	0.0	0.5	0.75	False	False	False					5.0	2.55	26.5
0	536870912	939524096	650	-1.0	0.0	0.5	0.875	False	False	False					5.0	2.55	30.75
0	536870912	1006632960	10885	-1.0	0.0	0.5	0.9375	False	False	False					5.0	2.55	32.875
0	536870912	1040187392	13238	-1.0	0.0	0.5	0.96875	False	False	False					5.0	2.55	33.9375
0	536870912	1073741824	13	-1.0	0.0	0.5	1.0	False	False	False					5.0	2.55	35.0
0	671088640	0	4278	-1.0	0.0	0.625	0.0	False	False	False					5.0	3.1625	1.0
0	671088640	134217728	4279	-1.0	0.0	0.625	0.125	False	False	False					5.0	3.1625	5.25
0	671088640	268435456	4280	-1.0	0.0	0.625	0.25	False	False	False					5.0	3.1625	9.5
0	671088640	536870912	1903	-1.0	0.0	0.625	0.5	False	False	False					5.0	3.1625	18.0
