sequence	Year	Adopters	NonAdopters	Potential Adopters
3139	2027.5	1250.0	90194.3	9805.73
3139	2030.0	1500.0	86378.8	13621.2
3139	2032.5	1750.0	82111.4	17888.6
3139	2035.0	2043.82	77468.0	22488.2
3139	2037.5	3447.57	71604.2	27198.3
3139	2040.0	7839.58	61002.7	33657.7
3139	2042.5	17020.3	42648.1	43081.5
3139	2045.0	32674.9	20669.0	49656.0
3139	2047.5	56338.8	5580.62	41330.6
3139	2050.0	89369.1	643.382	13487.5
3138	2015.0	0.0	100000.0	0.0
3138	2017.5	250.0	99455.2	544.841
3138	2020.0	500.0	98161.9	1838.14
3138	2022.5	750.0	96152.9	3847.06
3138	2025.0	1000.0	93476.5	6523.46
3138	2027.5	1250.0	90194.3	9805.73
3138	2030.0	1500.0	86378.8	13621.2
3138	2032.5	1750.0	82111.4	17888.6
3138	2035.0	2288.18	77329.8	22382.0
3138	2037.5	4736.1	70002.2	27511.7
3138	2040.0	10949.2	55954.0	35596.8
3138	2042.5	22683.4	34368.0	45698.6
3138	2045.0	41564.1	13408.6	48027.4
3138	2047.5	69054.0	2615.85	31580.2
3138	2050.0	103282.0	192.477	25.2152
3137	2015.0	0.0	100000.0	0.0
3137	2017.5	250.0	99541.1	458.916
3137	2020.0	500.0	98450.2	1549.84
3137	2022.5	750.0	96751.1	3248.93
3137	2025.0	1000.0	94478.7	5521.27
3137	2027.5	1250.0	91677.9	8322.12
3137	2030.0	1500.0	88401.7	11598.3
3137	2032.5	1750.0	84710.2	15289.8
3137	2035.0	2036.89	80660.3	19302.8
3137	2037.5	3258.72	75621.8	23369.5
3137	2040.0	7000.93	66849.7	28649.4
3137	2042.5	14792.2	51308.5	36649.3
3137	2045.0	28077.6	30326.5	44595.9
3137	2047.5	48193.4	11815.4	43241.2
3137	2050.0	76345.7	2511.12	24643.2
3136	2015.0	0.0	100000.0	0.0
3136	2017.5	250.0	99501.8	498.20099999999996
3136	2020.0	500.0	98318.3	1681.72
3136	2022.5	750.0	96477.2	3522.79
3136	2025.0	1000.0	94019.3	5980.69
3136	2027.5	1250.0	90996.7	9003.26
3136	2030.0	1500.0	87471.3	12528.7
3136	2032.5	1750.0	83512.3	16487.7
3136	2035.0	2000.0	79194.4	20805.6
3136	2037.5	2661.2	74375.5	25213.3
3136	2040.0	5331.93	67029.3	30138.8
3136	2042.5	11698.0	53632.5	37419.5
3136	2045.0	23360.5	33702.0	45937.4
3136	2047.5	41806.0	14097.1	47346.9
3136	2050.0	68379.3	3194.73	31926.0
3135	2015.0	0.0	100000.0	0.0
3135	2017.5	250.0	99501.8	498.20099999999996
3135	2020.0	500.0	98318.3	1681.72
3135	2022.5	750.0	96477.2	3522.79
3135	2025.0	1000.0	94019.3	5980.69
3135	2027.5	1250.0	90996.7	9003.26
3135	2030.0	1500.0	87471.3	12528.7
3135	2032.5	1750.0	83512.3	16487.7
3135	2035.0	2040.06	79185.2	20774.7
3135	2037.5	3345.06	73764.3	25140.6
3135	2040.0	7384.52	64150.6	30964.9
3135	2042.5	15811.9	47260.7	39677.3
3135	2045.0	30183.3	25610.4	47206.3
3135	2047.5	51927.8	8500.74	42821.5
3135	2050.0	82323.3	1383.25	19793.5
3134	2015.0	0.0	100000.0	0.0
3134	2017.5	250.0	99501.8	498.20099999999996
3134	2020.0	500.0	98318.3	1681.72
3134	2022.5	750.0	96477.2	3522.79
3134	2025.0	1000.0	94019.3	5980.69
3134	2027.5	1250.0	90996.7	9003.26
3134	2030.0	1500.0	87471.3	12528.7
3134	2032.5	1750.0	83512.3	16487.7
3134	2035.0	2263.47	79067.2	20669.3
3134	2037.5	4523.64	72382.3	25344.1
3134	2040.0	10230.9	59680.3	32588.8
3134	2042.5	21001.1	39454.1	42294.8
3134	2045.0	38339.7	17831.2	46829.2
3134	2047.5	63614.2	4509.05	35126.7
3134	2050.0	98032.1	502.23800000000006	4965.64
3133	2015.0	0.0	100000.0	0.0
3133	2017.5	250.0	99455.2	544.841
3133	2020.0	500.0	98161.9	1838.14
3133	2022.5	750.0	96152.9	3847.06
3133	2025.0	1000.0	93476.5	6523.46
3133	2027.5	1250.0	90194.3	9805.73
3133	2030.0	1500.0	86378.8	13621.2
3133	2032.5	1750.0	82111.4	17888.6
3133	2035.0	2043.82	77468.0	22488.2
3133	2037.5	3447.57	71604.2	27198.3
3133	2040.0	7839.58	61002.7	33657.7
3133	2042.5	17020.3	42648.1	43081.5
3133	2045.0	32674.9	20669.0	49656.0
3133	2047.5	56338.8	5580.62	41330.6
3133	2050.0	89369.1	643.382	13487.5
3124	2015.0	0.0	100000.0	0.0
3124	2017.5	246.875	99412.4	590.77
3124	2020.0	496.875	97997.0	2006.16
3124	2022.5	746.875	95796.0	4207.07
3124	2025.0	1237.48	92716.9	7045.66
3124	2027.5	3650.23	86029.9	11569.9
3124	2030.0	10036.6	69362.5	22100.9
3124	2032.5	22314.6	41209.0	38226.4
3124	2035.0	42217.9	14405.8	45376.3
3124	2037.5	76253.5	2106.75	23889.7
3124	2040.0	102149.0	84.5017	266.684
3124	2042.5	102399.0	2.693	348.49199999999996
3124	2045.0	102649.0	0.08582089999999999	351.099
3124	2047.5	103250.0	0.00272059	0.28170700000000004
3124	2050.0	103500.0	8.566209999999999e-05	0.284342
3123	2015.0	0.0	100000.0	0.0
3123	2017.5	246.875	99396.7	606.43
3123	2020.0	496.875	97944.2	2058.95
3123	2022.5	746.875	95686.6	4316.49
3123	2025.0	1166.17	92590.7	7243.12
3123	2027.5	3342.2	86265.6	11642.2
3123	2030.0	9390.34	70278.2	21831.4
3123	2032.5	21302.9	42370.7	38076.3
3123	2035.0	40779.7	15000.3	46220.0
3123	2037.5	72857.2	2248.56	27144.2
3123	2040.0	102011.0	89.5006	399.709
3123	2042.5	102261.0	2.60995	486.6
3123	2045.0	102511.0	0.07610610000000001	489.13300000000004
3123	2047.5	103248.0	0.00220641	1.9730400000000001
3123	2050.0	103498.0	6.32424e-05	1.97518
3122	2015.0	0.0	100000.0	0.0
3122	2017.5	246.875	99396.7	606.43
3122	2020.0	496.875	97944.2	2058.95
3122	2022.5	746.875	95686.6	4316.49
3122	2025.0	1243.87	92526.4	7229.69
3122	2027.5	3713.83	85599.6	11936.5
3122	2030.0	10261.1	68309.8	22929.1
3122	2032.5	22850.9	39525.1	39374.0
3122	2035.0	43288.0	13079.4	45632.7
3122	2037.5	78464.9	1720.44	22064.6
3122	2040.0	102077.0	60.5347	362.903
3122	2042.5	102327.0	1.7611599999999998	421.676
3122	2045.0	102577.0	0.0512366	423.38599999999997
3122	2047.5	103250.0	0.00147907	0.199509
3122	2050.0	103500.0	4.23918e-05	0.200945
3121	2015.0	0.0	100000.0	0.0
3121	2017.5	246.875	99396.7	606.43
3121	2020.0	496.875	97944.2	2058.95
3121	2022.5	746.875	95686.6	4316.49
3121	2025.0	1355.14	92421.1	7223.78
3121	2027.5	4180.87	84720.3	12348.9
3121	2030.0	11313.5	65916.4	24270.1
3121	2032.5	24666.9	36317.4	40765.7
3121	2035.0	46435.5	11080.4	44484.0
3121	2037.5	85994.6	1226.38	15029.0
3121	2040.0	101797.0	38.9515	664.201
3121	2042.5	102047.0	1.1445	702.008
3121	2045.0	102297.0	0.0336265	703.1189999999999
3121	2047.5	103250.0	0.000964543	0.29802
3121	2050.0	103500.0	2.76451e-05	0.29895700000000003
3120	2015.0	0.0	100000.0	0.0
3120	2017.5	246.875	99380.2	622.943
3120	2020.0	496.875	97888.5	2114.59
3120	2022.5	746.875	95571.4	4431.75
3120	2025.0	1250.61	92325.8	7423.58
3120	2027.5	3780.89	85143.4	12325.7
3120	2030.0	10497.8	67195.8	23806.3
3120	2032.5	23415.9	37785.5	40548.6
3120	2035.0	44416.3	11782.7	45801.0
3120	2037.5	80805.8	1381.39	20062.8
3120	2040.0	102082.0	42.4853	375.67800000000005
3120	2042.5	102332.0	1.1195	417.04400000000004
3120	2045.0	102582.0	0.0294981	418.134
3120	2047.5	103247.0	0.000770811	2.84979
3120	2050.0	103497.0	2.0006500000000002e-05	2.85054
3119	2015.0	0.0	100000.0	0.0
3119	2017.5	246.875	99412.4	590.77
3119	2020.0	496.875	97997.0	2006.16
3119	2022.5	746.875	95796.0	4207.07
3119	2025.0	1161.79	92778.0	7060.24
3119	2027.5	3288.16	86664.8	11297.0
3119	2030.0	9187.94	71258.1	21054.0
3119	2032.5	20805.6	44019.8	36924.6
3119	2035.0	39787.6	16404.2	45808.2
3119	2037.5	70880.5	2711.15	28658.4
3119	2040.0	102024.0	123.586	352.43199999999996
3119	2042.5	102274.0	3.9555300000000004	472.06300000000005
3119	2045.0	102524.0	0.12659700000000002	475.892
3119	2047.5	103235.0	0.00403404	14.8172
3119	2050.0	103499.0	0.000127026	1.41911
3118	2015.0	0.0	100000.0	0.0
3118	2017.5	246.875	99412.4	590.77
3118	2020.0	496.875	97997.0	2006.16
3118	2022.5	746.875	95796.0	4207.07
3118	2025.0	1237.48	92716.9	7045.66
3118	2027.5	3650.23	86029.9	11569.9
3118	2030.0	10036.6	69362.5	22100.9
3118	2032.5	22314.6	41209.0	38226.4
3118	2035.0	42217.9	14405.8	45376.3
3118	2037.5	76253.5	2106.75	23889.7
3118	2040.0	102149.0	84.5017	266.684
3118	2042.5	102399.0	2.693	348.49199999999996
3118	2045.0	102649.0	0.08582089999999999	351.099
3118	2047.5	103250.0	0.00272059	0.28170700000000004
3118	2050.0	103500.0	8.566209999999999e-05	0.284342
3117	2015.0	0.0	100000.0	0.0
3117	2017.5	246.875	99412.4	590.77
3117	2020.0	496.875	97997.0	2006.16
3117	2022.5	746.875	95796.0	4207.07
3117	2025.0	1345.87	92616.7	7037.45
3117	2027.5	4105.27	85191.0	11953.7
3117	2030.0	11062.1	67054.1	23383.8
3117	2032.5	24084.2	38028.2	39637.6
3117	2035.0	45257.7	12311.8	44430.6
3117	2037.5	83459.7	1532.52	17257.8
3117	2040.0	101850.0	54.8017	595.594
3117	2042.5	102100.0	1.76456	648.631
3117	2045.0	102350.0	0.056813800000000005	650.339
3117	2047.5	103250.0	0.00179292	0.45911199999999996
3117	2050.0	103500.0	5.6453400000000004e-05	0.46084899999999995
3116	2015.0	0.0	100000.0	0.0
3116	2017.5	246.875	99396.7	606.43
3116	2020.0	496.875	97944.2	2058.95
3116	2022.5	746.875	95686.6	4316.49
3116	2025.0	1166.17	92590.7	7243.12
3116	2027.5	3342.2	86265.6	11642.2
3116	2030.0	9390.34	70278.2	21831.4
3116	2032.5	21302.9	42370.7	38076.3
3116	2035.0	40779.7	15000.3	46220.0
3116	2037.5	72857.2	2248.56	27144.2
3116	2040.0	102011.0	89.5006	399.709
3116	2042.5	102261.0	2.60995	486.6
3116	2045.0	102511.0	0.07610610000000001	489.13300000000004
3116	2047.5	103248.0	0.00220641	1.9730400000000001
3116	2050.0	103498.0	6.32424e-05	1.97518
1839	2015.0	0.0	100000.0	0.0
1839	2017.5	246.875	99396.7	606.43
1839	2020.0	496.875	97944.2	2058.95
1839	2022.5	746.875	95686.6	4316.49
1839	2025.0	1243.87	92526.4	7229.69
1839	2027.5	3713.83	85599.6	11936.5
1839	2030.0	10261.1	68309.8	22929.1
1839	2032.5	22850.9	39525.1	39374.0
1839	2035.0	43288.0	13079.4	45632.7
1839	2037.5	78464.9	1720.44	22064.6
1839	2040.0	102077.0	60.5347	362.903
1839	2042.5	102327.0	1.7611599999999998	421.676
1839	2045.0	102577.0	0.0512366	423.38599999999997
1839	2047.5	103250.0	0.00147907	0.199509
1839	2050.0	103500.0	4.23918e-05	0.200945
3115	2015.0	0.0	100000.0	0.0
3115	2017.5	246.875	99396.7	606.43
